ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-08-27T00:00:00.000000000Z,33,1,42002651,6486.500000000,6487.000000000,6485.250000000,6485.250000000,382,MESU5
2025-08-27T00:01:00.000000000Z,33,1,42002651,6485.500000000,6485.750000000,6484.500000000,6484.750000000,373,MESU5
2025-08-27T00:02:00.000000000Z,33,1,42002651,6484.500000000,6485.000000000,6484.500000000,6484.750000000,244,MESU5
2025-08-27T00:03:00.000000000Z,33,1,42002651,6484.500000000,6485.250000000,6484.500000000,6484.750000000,178,MESU5
2025-08-27T00:04:00.000000000Z,33,1,42002651,6485.000000000,6485.000000000,6484.250000000,6484.500000000,83,MESU5
2025-08-27T00:05:00.000000000Z,33,1,42002651,6484.500000000,6485.000000000,6484.500000000,6484.750000000,87,MESU5
2025-08-27T00:06:00.000000000Z,33,1,42002651,6484.750000000,6485.000000000,6484.250000000,6484.500000000,98,MESU5
2025-08-27T00:07:00.000000000Z,33,1,42002651,6484.250000000,6484.750000000,6484.250000000,6484.500000000,120,MESU5
2025-08-27T00:08:00.000000000Z,33,1,42002651,6484.500000000,6485.250000000,6484.500000000,6484.500000000,99,MESU5
2025-08-27T00:09:00.000000000Z,33,1,42002651,6484.500000000,6484.750000000,6484.250000000,6484.750000000,47,MESU5
2025-08-27T00:10:00.000000000Z,33,1,42002651,6484.750000000,6484.750000000,6484.250000000,6484.500000000,73,MESU5
2025-08-27T00:11:00.000000000Z,33,1,42002651,6484.750000000,6485.000000000,6484.500000000,6484.750000000,38,MESU5
2025-08-27T00:12:00.000000000Z,33,1,42002651,6484.750000000,6484.750000000,6484.500000000,6484.500000000,28,MESU5
2025-08-27T00:13:00.000000000Z,33,1,42002651,6484.750000000,6484.750000000,6484.250000000,6484.500000000,64,MESU5
2025-08-27T00:14:00.000000000Z,33,1,42002651,6484.500000000,6484.500000000,6483.750000000,6484.250000000,150,MESU5
2025-08-27T00:15:00.000000000Z,33,1,42002651,6484.250000000,6484.500000000,6484.250000000,6484.250000000,47,MESU5
2025-08-27T00:16:00.000000000Z,33,1,42002651,6484.250000000,6484.750000000,6484.250000000,6484.500000000,30,MESU5
2025-08-27T00:17:00.000000000Z,33,1,42002651,6484.500000000,6484.750000000,6484.250000000,6484.500000000,35,MESU5
2025-08-27T00:18:00.000000000Z,33,1,42002651,6484.500000000,6484.500000000,6484.250000000,6484.500000000,66,MESU5
2025-08-27T00:19:00.000000000Z,33,1,42002651,6484.500000000,6484.500000000,6484.250000000,6484.500000000,30,MESU5
2025-08-27T00:20:00.000000000Z,33,1,42002651,6484.250000000,6484.500000000,6484.000000000,6484.250000000,42,MESU5
2025-08-27T00:21:00.000000000Z,33,1,42002651,6484.500000000,6484.500000000,6484.000000000,6484.250000000,29,MESU5
2025-08-27T00:22:00.000000000Z,33,1,42002651,6484.000000000,6484.750000000,6484.000000000,6484.750000000,141,MESU5
2025-08-27T00:23:00.000000000Z,33,1,42002651,6484.750000000,6485.000000000,6484.500000000,6484.500000000,53,MESU5
